analysis_scope,arm_event_type,arm_cycle_number,variant,price_damage_threshold_pct,control_trade_id,ticker,name,recovery_class,v2_loss_guard_triggered,entry_date,entry_open,first_arm_date,first_arm_close,first_arm_close_return_pct,first_arm_running_mfe_pct,first_arm_fast_date,first_arm_fast_state,next_usable_fast_date,next_usable_fast_state,unavailable_before_next_usable_count,next_fast_close,next_fast_close_return_pct,arm_to_next_fast_delta_pp,min_close_return_after_arm_to_next_fast_pct,min_close_date_after_arm_to_next_fast,min_close_delta_vs_arm_pp,additional_close_deterioration_pp,min_low_return_after_arm_to_next_fast_pct,additional_low_deterioration_pp,first_mfe20_date,long_horizon_end_date,long_horizon_end_reason,post_arm_long_min_close_return_pct,post_arm_long_min_close_date,post_arm_long_min_close_delta_pp,post_arm_long_additional_close_deterioration_pp,post_arm_long_min_low_return_pct,post_arm_long_additional_low_deterioration_pp,days_arm_to_long_min_close_trading,days_arm_to_long_min_close_calendar,long_horizon_last_close_return_pct,arm_to_long_horizon_last_close_delta_pp,arm_date,arm_close,arm_close_return_pct,arm_running_mfe_pct,arm_fast_date,arm_fast_state
SECONDARY_ALL_ARM_CYCLES,ARMED,1,FASTCORE_V1_W25_PREWINNER_ARMED_V00,-25.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000050_KR7000050005_KOSPI_01,50,경방,NEVER_WINNER,True,2021-05-31,15300.0,2022-06-23,10600.0,-30.718954,16.013072,2022-06-17,SETUP,2022-06-24,WATCH,0,12400.0,-18.954248,11.764706,-18.954248,2022-06-24,11.764706,0.0,-30.718954,0.0,,2026-08-21,SUPPORT_END,-62.222222,2024-10-18,-31.503268,31.503268,-62.875817,32.156863,569.0,848.0,-46.470588,-15.751634,2022-06-23,10600.0,-30.718954,16.013072,2022-06-17,SETUP
SECONDARY_ALL_ARM_CYCLES,REARM,2,FASTCORE_V1_W25_PREWINNER_ARMED_V00,-25.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000050_KR7000050005_KOSPI_01,50,경방,NEVER_WINNER,True,2021-05-31,15300.0,2022-09-29,11200.0,-26.797386,16.013072,2022-09-23,WATCH,2022-09-30,WATCH,0,11450.0,-25.163399,1.633987,-25.163399,2022-09-30,1.633987,0.0,-28.431373,1.633987,,2026-08-21,SUPPORT_END,-62.222222,2024-10-18,-35.424836,35.424836,-62.875817,36.078431,502.0,750.0,-46.470588,-19.673202,2022-09-29,11200.0,-26.797386,16.013072,2022-09-23,WATCH
SECONDARY_ALL_ARM_CYCLES,ARMED,1,FASTCORE_V1_W30_PREWINNER_ARMED_V00,-30.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000050_KR7000050005_KOSPI_01,50,경방,NEVER_WINNER,True,2021-05-31,15300.0,2022-06-23,10600.0,-30.718954,16.013072,2022-06-17,SETUP,2022-06-24,WATCH,0,12400.0,-18.954248,11.764706,-18.954248,2022-06-24,11.764706,0.0,-30.718954,0.0,,2026-08-21,SUPPORT_END,-62.222222,2024-10-18,-31.503268,31.503268,-62.875817,32.156863,569.0,848.0,-46.470588,-15.751634,2022-06-23,10600.0,-30.718954,16.013072,2022-06-17,SETUP
SECONDARY_ALL_ARM_CYCLES,REARM,2,FASTCORE_V1_W30_PREWINNER_ARMED_V00,-30.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000050_KR7000050005_KOSPI_01,50,경방,NEVER_WINNER,True,2021-05-31,15300.0,2022-10-13,10400.0,-32.026144,16.013072,2022-10-07,WATCH,2022-10-14,WATCH,0,10800.0,-29.411765,2.614379,-29.411765,2022-10-14,2.614379,0.0,-31.372549,0.0,,2026-08-21,SUPPORT_END,-62.222222,2024-10-18,-30.196078,30.196078,-62.875817,30.849673,494.0,736.0,-46.470588,-14.444444,2022-10-13,10400.0,-32.026144,16.013072,2022-10-07,WATCH
SECONDARY_ALL_ARM_CYCLES,REARM,3,FASTCORE_V1_W30_PREWINNER_ARMED_V00,-30.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000050_KR7000050005_KOSPI_01,50,경방,NEVER_WINNER,True,2021-05-31,15300.0,2022-10-17,10650.0,-30.392157,16.013072,2022-10-14,WATCH,2022-10-21,WATCH,0,11000.0,-28.104575,2.287582,-28.431373,2022-10-20,1.960784,0.0,-30.392157,0.0,,2026-08-21,SUPPORT_END,-62.222222,2024-10-18,-31.830065,31.830065,-62.875817,32.48366,492.0,732.0,-46.470588,-16.078431,2022-10-17,10650.0,-30.392157,16.013072,2022-10-14,WATCH
SECONDARY_ALL_ARM_CYCLES,REARM,4,FASTCORE_V1_W30_PREWINNER_ARMED_V00,-30.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000050_KR7000050005_KOSPI_01,50,경방,NEVER_WINNER,True,2021-05-31,15300.0,2023-01-03,10600.0,-30.718954,16.013072,2022-12-23,SETUP,2023-01-06,SETUP,0,10650.0,-30.392157,0.326797,-31.045752,2023-01-05,-0.326798,0.326798,-31.372549,0.653595,,2026-08-21,SUPPORT_END,-62.222222,2024-10-18,-31.503268,31.503268,-62.875817,32.156863,437.0,654.0,-46.470588,-15.751634,2023-01-03,10600.0,-30.718954,16.013072,2022-12-23,SETUP
SECONDARY_ALL_ARM_CYCLES,ARMED,1,FASTCORE_V1_W25_PREWINNER_ARMED_V00,-25.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000050_KR7000050005_KOSPI_02,50,경방,NEVER_WINNER,True,2022-05-02,15700.0,2022-06-22,11750.0,-25.159236,10.828025,2022-06-17,SETUP,2022-06-24,WATCH,0,12400.0,-21.019108,4.140128,-32.484076,2022-06-23,-7.32484,7.32484,-32.484076,7.32484,,2026-08-21,SUPPORT_END,-63.184713,2024-10-18,-38.025477,38.025477,-63.821656,38.66242,570.0,849.0,-47.834395,-22.675159,2022-06-22,11750.0,-25.159236,10.828025,2022-06-17,SETUP
SECONDARY_ALL_ARM_CYCLES,REARM,2,FASTCORE_V1_W25_PREWINNER_ARMED_V00,-25.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000050_KR7000050005_KOSPI_02,50,경방,NEVER_WINNER,True,2022-05-02,15700.0,2022-09-26,11600.0,-26.11465,10.828025,2022-09-23,WATCH,2022-09-30,WATCH,0,11450.0,-27.070064,-0.955414,-28.66242,2022-09-29,-2.54777,2.54777,-30.254777,4.140127,,2026-08-21,SUPPORT_END,-63.184713,2024-10-18,-37.070063,37.070063,-63.821656,37.707006,505.0,753.0,-47.834395,-21.719745,2022-09-26,11600.0,-26.11465,10.828025,2022-09-23,WATCH
SECONDARY_ALL_ARM_CYCLES,ARMED,1,FASTCORE_V1_W30_PREWINNER_ARMED_V00,-30.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000050_KR7000050005_KOSPI_02,50,경방,NEVER_WINNER,True,2022-05-02,15700.0,2022-06-23,10600.0,-32.484076,10.828025,2022-06-17,SETUP,2022-06-24,WATCH,0,12400.0,-21.019108,11.464968,-21.019108,2022-06-24,11.464968,0.0,-32.484076,0.0,,2026-08-21,SUPPORT_END,-63.184713,2024-10-18,-30.700637,30.700637,-63.821656,31.33758,569.0,848.0,-47.834395,-15.350319,2022-06-23,10600.0,-32.484076,10.828025,2022-06-17,SETUP
SECONDARY_ALL_ARM_CYCLES,REARM,2,FASTCORE_V1_W30_PREWINNER_ARMED_V00,-30.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000050_KR7000050005_KOSPI_02,50,경방,NEVER_WINNER,True,2022-05-02,15700.0,2022-10-11,10900.0,-30.573248,10.828025,2022-10-07,WATCH,2022-10-14,WATCH,0,10800.0,-31.210191,-0.636943,-33.757962,2022-10-13,-3.184714,3.184714,-33.757962,3.184714,,2026-08-21,SUPPORT_END,-63.184713,2024-10-18,-32.611465,32.611465,-63.821656,33.248408,496.0,738.0,-47.834395,-17.261147,2022-10-11,10900.0,-30.573248,10.828025,2022-10-07,WATCH
