ticker,isu_cd,name,market,baseline_trade_id,entry_signal_date,entry_execution_date,entry_open,baseline_exit_date,baseline_exit_price,baseline_terminal_return,no_loss_guard_trade_id,no_loss_guard_exit_type,no_loss_guard_exit_execution_date,no_loss_guard_terminal_return,return_delta,no_loss_guard_mfe,no_loss_guard_mae,no_loss_guard_holding_days,fundamental_exit_triggered,fundamental_exit_type,paired_status
000050,KR7000050005,경방,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_000050_KR7000050005_KOSPI_01,2021-05-28,2021-05-31,15300.0,2021-08-23,12750.0,-16.67,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_000050_KR7000050005_KOSPI_01,FUNDAMENTAL_B_SHARP_DECLINE,2023-03-20,-30.98,-14.31,16.01,-32.03,447.0,True,FUNDAMENTAL_B_SHARP_DECLINE,PAIRED
000050,KR7000050005,경방,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_000050_KR7000050005_KOSPI_02,2022-04-29,2022-05-02,15700.0,2022-06-20,13200.0,-15.92,,,,,,,,,,,UNPAIRED_NO_LOSS_GUARD_MATCH
000150,KR7000150003,두산,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_000150_KR7000150003_KOSPI_02,2022-11-25,2022-11-28,97300.0,2022-12-28,81600.0,-16.14,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_000150_KR7000150003_KOSPI_02,EXIT4_SCORE_DRAWDOWN_GE_15,2024-07-01,122.51,138.65,150.77,-25.9,391.0,False,,PAIRED
000150,KR7000150003,두산,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_000150_KR7000150003_KOSPI_03,2023-03-10,2023-03-13,107200.0,2023-05-04,91300.0,-14.83,,,,,,,,,,,UNPAIRED_NO_LOSS_GUARD_MATCH
000430,KR7000430009,대원강업,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_000430_KR7000430009_KOSPI_01,2026-06-12,2026-06-15,5170.0,2026-06-23,4285.0,-17.12,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_000430_KR7000430009_KOSPI_01,NO_PROGRESSED_BEFORE_CUTOFF,,-22.73,-5.61,2.51,-39.26,48.0,False,,PAIRED
000640,KR7000640003,동아쏘시오홀딩스,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_000640_KR7000640003_KOSPI_01,2023-09-22,2023-09-25,90761.0,2026-06-24,76300.0,-15.93,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_000640_KR7000640003_KOSPI_01,NO_PROGRESSED_BEFORE_CUTOFF,,-0.84,15.09,34.29,-17.92,705.0,False,,PAIRED
000660,KR7000660001,SK하이닉스,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_000660_KR7000660001_KOSPI_01,2022-03-04,2022-03-07,119000.0,2022-06-14,96900.0,-18.57,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_000660_KR7000660001_KOSPI_01,FUNDAMENTAL_A_OPERATING_LOSS,2023-03-22,-28.4,-9.83,5.04,-38.57,260.0,True,FUNDAMENTAL_A_OPERATING_LOSS,PAIRED
001040,KR7001040005,CJ,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_001040_KR7001040005_KOSPI_01,2023-01-06,2023-01-09,81800.0,2023-06-30,68000.0,-16.87,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_001040_KR7001040005_KOSPI_01,FUNDAMENTAL_C_TWO_CONSECUTIVE_DECLINES,2023-11-15,11.0,27.87,40.71,-26.28,210.0,True,FUNDAMENTAL_C_TWO_CONSECUTIVE_DECLINES,PAIRED
001060,KR7001060003,JW중외제약,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_001060_KR7001060003_KOSPI_01,2022-03-25,2022-03-28,27624.0,2022-05-13,23670.0,-14.31,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_001060_KR7001060003_KOSPI_01,EXIT4_SCORE_DRAWDOWN_GE_15,2023-11-01,-5.91,8.4,86.4,-42.25,383.0,False,,PAIRED
001060,KR7001060003,JW중외제약,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_V01_001060_KR7001060003_KOSPI_03,2025-11-28,2025-12-01,26250.0,2026-07-30,21600.0,-17.71,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_001060_KR7001060003_KOSPI_02,NO_PROGRESSED_BEFORE_CUTOFF,,0.57,18.28,49.52,-17.9,177.0,False,,PAIRED
