ticker_control,name_control,market_control,trade_id_control,trade_sequence_control,entry_signal_date_control,entry_execution_date_control,entry_open_control,entry_pattern_a_stage_control,fast_stage_control,monthly_regime_control,daily_risk_control,fast_score_control,fast_score_state_control,previous_exit_type_control,previous_exit_execution_date_control,loss_guard_triggered_control,loss_guard_signal_date_control,loss_guard_execution_date_control,loss_guard_execution_price_control,first_progressed_date_control,first_progressed_effective_trading_date_control,lifecycle_class_control,exit_type_control,exit_signal_date_control,exit_execution_date_control,exit_price_control,terminal_return_control,mfe_control,mae_control,peak_giveback_control,profit_capture_control,holding_weeks_control,trade_status_control,pair_id,isu_cd_control,identity_effective_from_control,identity_effective_to_control,strategy_id_control,holding_days_control,terminal_valuation_date_control,terminal_valuation_price_control,terminal_valuation_source_control,terminal_valuation_at_cutoff_control,lifecycle_state_control,lifecycle_evidence_id_control,settlement_date_control,settlement_price_control,settlement_type_control,settlement_source_control,terminal_reason_control,execution_support_missing_control,lifecycle_event_type_control,lifecycle_source_isu_cd_control,lifecycle_unresolved_reason_control,ticker_candidate,name_candidate,market_candidate,trade_id_candidate,trade_sequence_candidate,entry_signal_date_candidate,entry_execution_date_candidate,entry_open_candidate,entry_pattern_a_stage_candidate,fast_stage_candidate,monthly_regime_candidate,daily_risk_candidate,fast_score_candidate,fast_score_state_candidate,previous_exit_type_candidate,previous_exit_execution_date_candidate,loss_guard_triggered_candidate,loss_guard_signal_date_candidate,loss_guard_execution_date_candidate,loss_guard_execution_price_candidate,first_progressed_date_candidate,first_progressed_effective_trading_date_candidate,lifecycle_class_candidate,exit_type_candidate,exit_signal_date_candidate,exit_execution_date_candidate,exit_price_candidate,terminal_return_candidate,mfe_candidate,mae_candidate,peak_giveback_candidate,profit_capture_candidate,holding_weeks_candidate,trade_status_candidate,isu_cd_candidate,identity_effective_from_candidate,identity_effective_to_candidate,strategy_id_candidate,holding_days_candidate,candidate_action,weak_protect_eod_events,post_progressed_neg40_touch_eod_events,soft_signal_return,incremental_soft_exit,execution_support_missing_candidate,stage_asof_date_at_signal,repository_v2_last_actual_date,terminal_valuation_date_candidate,terminal_valuation_price_candidate,terminal_valuation_source_candidate,terminal_valuation_at_cutoff_candidate,lifecycle_state_candidate,lifecycle_evidence_id_candidate,settlement_date_candidate,settlement_price_candidate,settlement_type_candidate,settlement_source_candidate,terminal_reason_candidate,lifecycle_event_type_candidate,lifecycle_source_isu_cd_candidate,lifecycle_unresolved_reason_candidate
000050,000050,KOSPI,000050_01,1,2021-05-28,2021-05-31,15300.0,EARLY_TREND,TRIGGER,PERMITTED_REGIME,NORMAL,77.99,READY,,,True,2021-08-20,2021-08-23,12750.0,,,NEVER_PROGRESSED,LOSS_GUARD_CLOSE_LE_NEG_15,2021-08-20,2021-08-23,12750.0,-16.67,2.61,-17.32,19.28,-6.387,12.0,REALIZED,000050|KR7000050005|KOSPI|2010-01-04|2026-08-21|000050_01,KR7000050005,2010-01-04,2026-08-21,PATTERN_A_FAST_FINAL_STRATEGY_V02,60,,,,,,,,,,,,,,,,000050,000050,KOSPI,000050_01,1,2021-05-28,2021-05-31,15300.0,EARLY_TREND,TRIGGER,PERMITTED_REGIME,NORMAL,77.99,READY,,,True,2021-08-20,2021-08-23,12750.0,,,NEVER_PROGRESSED,LOSS_GUARD_CLOSE_LE_NEG_15,2021-08-20,2021-08-23,12750.0,-16.67,2.61,-17.32,19.28,-6.387,12.0,REALIZED,KR7000050005,2010-01-04,2026-08-21,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,60,CONTROL_EXIT,0,0,,False,False,,2025-06-02,,,,,,,,,,,,,,
000050,000050,KOSPI,000050_02,2,2022-04-29,2022-05-02,15700.0,EARLY_TREND,TRIGGER,PERMITTED_REGIME,ELEVATED,73.24,READY,LOSS_GUARD_CLOSE_LE_NEG_15,2021-08-23,True,2022-06-17,2022-06-20,13200.0,,,NEVER_PROGRESSED,LOSS_GUARD_CLOSE_LE_NEG_15,2022-06-17,2022-06-20,13200.0,-15.92,10.83,-17.52,26.75,-1.47,6.6,REALIZED,000050|KR7000050005|KOSPI|2010-01-04|2026-08-21|000050_02,KR7000050005,2010-01-04,2026-08-21,PATTERN_A_FAST_FINAL_STRATEGY_V02,33,,,,,,,,,,,,,,,,000050,000050,KOSPI,000050_02,2,2022-04-29,2022-05-02,15700.0,EARLY_TREND,TRIGGER,PERMITTED_REGIME,ELEVATED,73.24,READY,LOSS_GUARD_CLOSE_LE_NEG_15,2021-08-23,True,2022-06-17,2022-06-20,13200.0,,,NEVER_PROGRESSED,LOSS_GUARD_CLOSE_LE_NEG_15,2022-06-17,2022-06-20,13200.0,-15.92,10.83,-17.52,26.75,-1.47,6.6,REALIZED,KR7000050005,2010-01-04,2026-08-21,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,33,CONTROL_EXIT,0,0,,False,False,,2025-06-02,,,,,,,,,,,,,,
000060,000060,KOSPI,000060_01,1,2021-04-02,2021-04-05,19000.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,81.55,READY,,,False,,,,2021-09-30,2021-09-30,NORMAL_EARLY_TREND_HANDOFF,EXIT4_SCORE_DRAWDOWN_GE_15,2021-11-30,2021-12-01,31150.0,63.95,82.63,-9.74,18.68,0.7739,33.0,REALIZED,000060|KR7000060004|KOSPI|2010-01-04|2023-02-20|000060_01,KR7000060004,2010-01-04,2023-02-20,PATTERN_A_FAST_FINAL_STRATEGY_V02,165,,,,,,,,,,,,,,,,000060,000060,KOSPI,000060_01,1,2021-04-02,2021-04-05,19000.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,81.55,READY,,,False,,,,2021-09-30,2021-09-30,NORMAL_EARLY_TREND_HANDOFF,EXIT4_SCORE_DRAWDOWN_GE_15,2021-11-30,2021-12-01,31150.0,63.95,82.63,-9.74,18.68,0.7739,33.0,REALIZED,KR7000060004,2010-01-04,2023-02-20,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,165,CONTROL_EXIT,0,0,,False,False,2021-11-30,2023-01-27,,,,,,,,,,,,,,
000070,000070,KOSPI,000070_01,1,2021-01-22,2021-01-25,61191.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,77.99,READY,,,False,,,,2021-05-31,2021-05-31,NORMAL_EARLY_TREND_HANDOFF,EXIT4_SCORE_DRAWDOWN_GE_15,2021-07-31,2021-08-02,73737.0,20.5,60.85,-8.29,40.35,0.3369,26.2,REALIZED,000070|KR7000070003|KOSPI|2010-01-04|2026-08-21|000070_01,KR7000070003,2010-01-04,2026-08-21,PATTERN_A_FAST_FINAL_STRATEGY_V02,131,,,,,,,,,,,,,,,,000070,000070,KOSPI,000070_01,1,2021-01-22,2021-01-25,61191.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,77.99,READY,,,False,,,,2021-05-31,2021-05-31,NORMAL_EARLY_TREND_HANDOFF,EXIT4_SCORE_DRAWDOWN_GE_15,2021-07-31,2021-08-02,73737.0,20.5,60.85,-8.29,40.35,0.3369,26.2,REALIZED,KR7000070003,2010-01-04,2026-08-21,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,131,CONTROL_EXIT,0,0,,False,False,2021-07-30,2025-06-02,,,,,,,,,,,,,,
000080,000080,KOSPI,000080_01,1,2021-07-02,2021-07-05,36650.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,75.1,READY,,,True,2021-08-19,2021-08-20,30800.0,,,NEVER_PROGRESSED,LOSS_GUARD_CLOSE_LE_NEG_15,2021-08-19,2021-08-20,30800.0,-15.96,0.82,-16.23,16.78,-19.4634,6.8,REALIZED,000080|KR7000080002|KOSPI|2010-01-04|2026-08-21|000080_01,KR7000080002,2010-01-04,2026-08-21,PATTERN_A_FAST_FINAL_STRATEGY_V02,34,,,,,,,,,,,,,,,,000080,000080,KOSPI,000080_01,1,2021-07-02,2021-07-05,36650.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,75.1,READY,,,True,2021-08-19,2021-08-20,30800.0,,,NEVER_PROGRESSED,LOSS_GUARD_CLOSE_LE_NEG_15,2021-08-19,2021-08-20,30800.0,-15.96,0.82,-16.23,16.78,-19.4634,6.8,REALIZED,KR7000080002,2010-01-04,2026-08-21,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,34,CONTROL_EXIT,0,0,,False,False,,2025-06-02,,,,,,,,,,,,,,
000100,000100,KOSPI,000100_01,1,2023-06-02,2023-06-05,58955.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,79.3,READY,,,False,,,,2024-08-31,2024-08-30,NORMAL_EARLY_TREND_HANDOFF,EXIT4_SCORE_DRAWDOWN_GE_15,2024-10-31,2024-11-01,138500.0,134.92,183.1,-10.88,48.18,0.7369,69.0,REALIZED,000100|KR7000100008|KOSPI|2010-01-04|2026-08-21|000100_01,KR7000100008,2010-01-04,2026-08-21,PATTERN_A_FAST_FINAL_STRATEGY_V02,345,,,,,,,,,,,,,,,,000100,000100,KOSPI,000100_01,1,2023-06-02,2023-06-05,58955.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,79.3,READY,,,False,,,,2024-08-31,2024-08-30,NORMAL_EARLY_TREND_HANDOFF,EXIT4_SCORE_DRAWDOWN_GE_15,2024-10-31,2024-11-01,138500.0,134.92,183.1,-10.88,48.18,0.7369,69.0,REALIZED,KR7000100008,2010-01-04,2026-08-21,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,345,CONTROL_EXIT,0,0,,False,False,2024-10-31,2025-06-02,,,,,,,,,,,,,,
000120,000120,KOSPI,000120_01,1,2024-01-05,2024-01-08,125600.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,73.24,READY,,,True,2024-05-28,2024-05-29,104200.0,,,NEVER_PROGRESSED,LOSS_GUARD_CLOSE_LE_NEG_15,2024-05-28,2024-05-29,104200.0,-17.04,18.31,-17.04,35.35,-0.9306,19.2,REALIZED,000120|KR7000120006|KOSPI|2010-01-04|2026-08-21|000120_01,KR7000120006,2010-01-04,2026-08-21,PATTERN_A_FAST_FINAL_STRATEGY_V02,96,,,,,,,,,,,,,,,,000120,000120,KOSPI,000120_01,1,2024-01-05,2024-01-08,125600.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,73.24,READY,,,True,2024-05-28,2024-05-29,104200.0,,,NEVER_PROGRESSED,LOSS_GUARD_CLOSE_LE_NEG_15,2024-05-28,2024-05-29,104200.0,-17.04,18.31,-17.04,35.35,-0.9306,19.2,REALIZED,KR7000120006,2010-01-04,2026-08-21,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,96,CONTROL_EXIT,0,0,,False,False,,2025-06-02,,,,,,,,,,,,,,
000150,000150,KOSPI,000150_01,1,2021-07-02,2021-07-05,98200.0,EARLY_TREND,TRIGGER,PERMITTED_REGIME,NORMAL,78.49,READY,,,False,,,,2021-08-31,2021-08-31,NORMAL_EARLY_TREND_HANDOFF,EXIT4_SCORE_DRAWDOWN_GE_15,2021-09-30,2021-10-01,98500.0,0.31,20.67,-13.44,20.36,0.015,12.2,REALIZED,000150|KR7000150003|KOSPI|2010-01-04|2026-08-21|000150_01,KR7000150003,2010-01-04,2026-08-21,PATTERN_A_FAST_FINAL_STRATEGY_V02,61,,,,,,,,,,,,,,,,000150,000150,KOSPI,000150_01,1,2021-07-02,2021-07-05,98200.0,EARLY_TREND,TRIGGER,PERMITTED_REGIME,NORMAL,78.49,READY,,,False,,,,2021-08-31,2021-08-31,NORMAL_EARLY_TREND_HANDOFF,EXIT4_SCORE_DRAWDOWN_GE_15,2021-09-30,2021-10-01,98500.0,0.31,20.67,-13.44,20.36,0.015,12.2,REALIZED,KR7000150003,2010-01-04,2026-08-21,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,61,CONTROL_EXIT,0,0,,False,False,2021-09-30,2025-06-02,,,,,,,,,,,,,,
000150,000150,KOSPI,000150_02,2,2022-11-25,2022-11-28,97300.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,73.29,READY,EXIT4_SCORE_DRAWDOWN_GE_15,2021-10-01,True,2022-12-27,2022-12-28,81600.0,2024-05-31,2024-05-31,NORMAL_EARLY_TREND_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2022-12-27,2022-12-28,81600.0,-16.14,1.85,-16.14,17.99,-8.7243,4.6,REALIZED,000150|KR7000150003|KOSPI|2010-01-04|2026-08-21|000150_02,KR7000150003,2010-01-04,2026-08-21,PATTERN_A_FAST_FINAL_STRATEGY_V02,23,,,,,,,,,,,,,,,,000150,000150,KOSPI,000150_02,2,2022-11-25,2022-11-28,97300.0,TRANSITION,TRIGGER,PERMITTED_REGIME,NORMAL,73.29,READY,EXIT4_SCORE_DRAWDOWN_GE_15,2021-10-01,True,2022-12-27,2022-12-28,81600.0,2024-05-31,2024-05-31,NORMAL_EARLY_TREND_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2022-12-27,2022-12-28,81600.0,-16.14,1.85,-16.14,17.99,-8.7243,4.6,REALIZED,KR7000150003,2010-01-04,2026-08-21,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,23,CONTROL_EXIT,0,0,,False,False,2022-11-30,2025-06-02,,,,,,,,,,,,,,
000150,000150,KOSPI,000150_03,3,2023-03-10,2023-03-13,107200.0,EARLY_TREND,TRIGGER,PERMITTED_REGIME,NORMAL,73.29,READY,LOSS_GUARD_CLOSE_LE_NEG_15,2022-12-28,True,2023-05-03,2023-05-04,91300.0,2024-05-31,2024-05-31,NORMAL_EARLY_TREND_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2023-05-03,2023-05-04,91300.0,-14.83,3.92,-15.11,18.75,-3.7832,7.6,REALIZED,000150|KR7000150003|KOSPI|2010-01-04|2026-08-21|000150_03,KR7000150003,2010-01-04,2026-08-21,PATTERN_A_FAST_FINAL_STRATEGY_V02,38,,,,,,,,,,,,,,,,000150,000150,KOSPI,000150_03,3,2023-03-10,2023-03-13,107200.0,EARLY_TREND,TRIGGER,PERMITTED_REGIME,NORMAL,73.29,READY,LOSS_GUARD_CLOSE_LE_NEG_15,2022-12-28,True,2023-05-03,2023-05-04,91300.0,2024-05-31,2024-05-31,NORMAL_EARLY_TREND_HANDOFF,LOSS_GUARD_CLOSE_LE_NEG_15,2023-05-03,2023-05-04,91300.0,-14.83,3.92,-15.11,18.75,-3.7832,7.6,REALIZED,KR7000150003,2010-01-04,2026-08-21,PATTERN_A_FAST_CORE_V2_NEG40_WEAK_PROTECT_SOFT_EXIT_V01,38,CONTROL_EXIT,0,0,,False,False,2023-04-28,2025-06-02,,,,,,,,,,,,,,
