section,group,trade_count,v2_mean_return,v2_median_return,v3_mean_return,v3_median_return,paired_mean_delta,paired_median_delta,v2_mean_mae,v3_mean_mae,v2_median_holding,v3_median_holding,v2_open_count,v3_open_count,v2_open_rate,v3_open_rate,v2_ge_50_count,v3_ge_50_count,v2_ge_100_count,v3_ge_100_count,v2_mean_giveback,v2_median_giveback,v3_mean_giveback,v3_median_giveback,improved_count,worsened_count,same_count,v3_exit_reason_distribution,representative_rank,case_type,rank,ticker,name,market,control_trade_id,entry_execution_date,entry_open,v2_exit_category,v2_terminal_return,v3_exit_reason,v3_terminal_return,return_delta_v3_minus_v2,v2_giveback,v3_giveback,v2_holding_days,v3_holding_days
COHORT_SUMMARY,WINNER_CAPABLE_GE_20,737.0,16.595617,-14.29,23.396296,13.95,6.800678,20.09,-15.570936,-16.89441,104.0,101.0,70.0,3.0,9.497965,0.407056,160.0,50.0,57.0,24.0,40.937028,27.75,31.501113,21.78,512.0,222.0,3.0,,,,,,,,,,,,,,,,,,,
V3_EXIT_REASON,SOFT_EXIT,498.0,15.746526,-13.945,17.599759,13.39,1.853233,20.315,-15.178193,-14.959257,125.5,98.0,51.0,0.0,10.240964,0.0,110.0,14.0,35.0,5.0,37.645,27.97,20.515261,17.885,335.0,163.0,0.0,,,,,,,,,,,,,,,,,,,
V3_EXIT_REASON,HARD_EXIT,236.0,18.203263,-14.93,35.424661,15.125,17.221398,19.74,-16.466822,-21.061864,74.0,115.5,17.0,0.0,7.20339,0.0,49.0,35.0,22.0,19.0,48.205212,27.245,54.961398,35.54,176.0,59.0,1.0,,,,,,,,,,,,,,,,,,,
V3_EXIT_REASON,OPEN_AT_CUTOFF,3.0,31.076667,22.3,39.39,22.3,8.313333,0.0,-10.29,-10.29,58.0,99.0,2.0,3.0,66.666667,100.0,1.0,1.0,0.0,0.0,15.65,11.18,9.61,11.18,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,
DAMAGE_SET,V2_GE_50_V3_LT_50,133.0,,,,,-80.592857,-62.69,,,,,,,,,,,,,,,,,,,,"{""HARD_EXIT"": 28, ""SOFT_EXIT"": 105}",,,,,,,,,,,,,,,,,,
DAMAGE_REPRESENTATIVE,V2_GE_50_V3_LT_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,V2_GE_50_V3_LT_50,1.0,131290,티에스이,KOSDAQ,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_131290_KR7131290009_KOSDAQ_02,2025-10-13,52900.0,OPEN_AT_CUTOFF,319.66,SOFT_EXIT,17.2,-302.46,136.11,14.94,212.0,68.0
DAMAGE_REPRESENTATIVE,V2_GE_50_V3_LT_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,V2_GE_50_V3_LT_50,2.0,080220,제주반도체,KOSDAQ,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_080220_KR7080220007_KOSDAQ_01,2025-09-22,19250.0,OPEN_AT_CUTOFF,281.82,HARD_EXIT,-0.05,-281.87,335.06,25.5,222.0,31.0
DAMAGE_REPRESENTATIVE,V2_GE_50_V3_LT_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,V2_GE_50_V3_LT_50,3.0,307950,현대오토에버,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_307950_KR7307950006_KOSPI_01,2023-04-17,126000.0,EXIT4,288.89,SOFT_EXIT,15.08,-273.81,42.06,12.3,698.0,72.0
DAMAGE_REPRESENTATIVE,V2_GE_50_V3_LT_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,V2_GE_50_V3_LT_50,4.0,005930,삼성전자,KOSPI,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_005930_KR7005930003_KOSPI_02,2025-09-01,68400.0,OPEN_AT_CUTOFF,311.55,SOFT_EXIT,42.98,-268.57,135.96,21.35,237.0,56.0
DAMAGE_REPRESENTATIVE,V2_GE_50_V3_LT_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,V2_GE_50_V3_LT_50,5.0,319660,피에스케이,KOSDAQ,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_319660_KR7319660007_KOSDAQ_03,2025-09-01,24000.0,EXIT4,250.0,HARD_EXIT,25.83,-224.17,23.33,46.67,141.0,56.0
