trade_id,pair_id,ticker,identity,entry_date,entry_signal_date,entry_open,control_exit_or_cutoff_date,control_exit_reason,control_terminal_return,control_holding_days,control_open_at_cutoff,candidate_exit_or_cutoff_date,candidate_exit_reason,candidate_terminal_return,candidate_holding_days,candidate_open_at_cutoff,candidate_soft_exit,paired_delta,control_trade_status,candidate_trade_status,candidate_action,control_terminal_reason,control_settlement_date,control_settlement_price,control_settlement_type,control_settlement_source,candidate_terminal_reason,candidate_settlement_date,candidate_settlement_price,candidate_settlement_type,candidate_settlement_source
000050_01,000050|KR7000050005|KOSPI|2010-01-04|2026-09-01|000050_01,000050,KR7000050005|KOSPI|2010-01-04|2026-09-01,2021-05-31,2021-05-28,15300.00000000,2021-08-23,LOSS_GUARD_CLOSE_LE_NEG_15,-16.67000000,60,False,2021-08-23,LOSS_GUARD_CLOSE_LE_NEG_15,-16.67000000,60,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,,,,,,,,,,
000050_02,000050|KR7000050005|KOSPI|2010-01-04|2026-09-01|000050_02,000050,KR7000050005|KOSPI|2010-01-04|2026-09-01,2022-05-02,2022-04-29,15700.00000000,2022-06-20,LOSS_GUARD_CLOSE_LE_NEG_15,-15.92000000,33,False,2022-06-20,LOSS_GUARD_CLOSE_LE_NEG_15,-15.92000000,33,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,,,,,,,,,,
000060_01,000060|KR7000060004|KOSPI|2010-01-04|2023-02-20|000060_01,000060,KR7000060004|KOSPI|2010-01-04|2023-02-20,2021-04-05,2021-04-02,19000.00000000,2021-12-01,EXIT4_SCORE_DRAWDOWN_GE_15,63.95000000,165,False,2021-12-01,EXIT4_SCORE_DRAWDOWN_GE_15,63.95000000,165,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,,,,,,,,,,
000070_01,000070|KR7000070003|KOSPI|2010-01-04|2026-09-01|000070_01,000070,KR7000070003|KOSPI|2010-01-04|2026-09-01,2021-01-25,2021-01-22,61191.00000000,2021-08-02,EXIT4_SCORE_DRAWDOWN_GE_15,20.50000000,131,False,2021-08-02,EXIT4_SCORE_DRAWDOWN_GE_15,20.50000000,131,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,,,,,,,,,,
000070_02,000070|KR7000070003|KOSPI|2010-01-04|2026-09-01|000070_02,000070,KR7000070003|KOSPI|2010-01-04|2026-09-01,2025-06-16,2025-06-13,57321.00000000,2026-07-01,EXIT4_SCORE_DRAWDOWN_GE_15,-3.53000000,239,False,2026-07-01,EXIT4_SCORE_DRAWDOWN_GE_15,-3.53000000,239,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,,,,,,,,,,
000080_01,000080|KR7000080002|KOSPI|2010-01-04|2026-09-01|000080_01,000080,KR7000080002|KOSPI|2010-01-04|2026-09-01,2021-07-05,2021-07-02,36650.00000000,2021-08-20,LOSS_GUARD_CLOSE_LE_NEG_15,-15.96000000,34,False,2021-08-20,LOSS_GUARD_CLOSE_LE_NEG_15,-15.96000000,34,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,,,,,,,,,,
000100_01,000100|KR7000100008|KOSPI|2010-01-04|2026-09-01|000100_01,000100,KR7000100008|KOSPI|2010-01-04|2026-09-01,2023-06-05,2023-06-02,58955.00000000,2024-11-01,EXIT4_SCORE_DRAWDOWN_GE_15,134.92000000,345,False,2024-11-01,EXIT4_SCORE_DRAWDOWN_GE_15,134.92000000,345,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,,,,,,,,,,
000120_01,000120|KR7000120006|KOSPI|2010-01-04|2026-09-01|000120_01,000120,KR7000120006|KOSPI|2010-01-04|2026-09-01,2024-01-08,2024-01-05,125600.00000000,2024-05-29,LOSS_GUARD_CLOSE_LE_NEG_15,-17.04000000,96,False,2024-05-29,LOSS_GUARD_CLOSE_LE_NEG_15,-17.04000000,96,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,,,,,,,,,,
000120_02,000120|KR7000120006|KOSPI|2010-01-04|2026-09-01|000120_02,000120,KR7000120006|KOSPI|2010-01-04|2026-09-01,2026-02-02,2026-01-30,104800.00000000,2026-05-20,LOSS_GUARD_CLOSE_LE_NEG_15,-14.50000000,72,False,2026-05-20,LOSS_GUARD_CLOSE_LE_NEG_15,-14.50000000,72,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,,,,,,,,,,
000150_01,000150|KR7000150003|KOSPI|2010-01-04|2026-09-01|000150_01,000150,KR7000150003|KOSPI|2010-01-04|2026-09-01,2021-07-05,2021-07-02,98200.00000000,2021-10-01,EXIT4_SCORE_DRAWDOWN_GE_15,0.31000000,61,False,2021-10-01,EXIT4_SCORE_DRAWDOWN_GE_15,0.31000000,61,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,,,,,,,,,,
000150_02,000150|KR7000150003|KOSPI|2010-01-04|2026-09-01|000150_02,000150,KR7000150003|KOSPI|2010-01-04|2026-09-01,2022-11-28,2022-11-25,97300.00000000,2022-12-28,LOSS_GUARD_CLOSE_LE_NEG_15,-16.14000000,23,False,2022-12-28,LOSS_GUARD_CLOSE_LE_NEG_15,-16.14000000,23,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,,,,,,,,,,
000150_03,000150|KR7000150003|KOSPI|2010-01-04|2026-09-01|000150_03,000150,KR7000150003|KOSPI|2010-01-04|2026-09-01,2023-03-13,2023-03-10,107200.00000000,2023-05-04,LOSS_GUARD_CLOSE_LE_NEG_15,-14.83000000,38,False,2023-05-04,LOSS_GUARD_CLOSE_LE_NEG_15,-14.83000000,38,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,,,,,,,,,,
000180_01,000180|KR7000180000|KOSPI|2010-01-04|2026-09-01|000180_01,000180,KR7000180000|KOSPI|2010-01-04|2026-09-01,2021-01-25,2021-01-22,12125.00000000,2021-07-01,EXIT4_SCORE_DRAWDOWN_GE_15,14.43000000,109,False,2021-07-01,EXIT4_SCORE_DRAWDOWN_GE_15,14.43000000,109,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,,,,,,,,,,
000180_02,000180|KR7000180000|KOSPI|2010-01-04|2026-09-01|000180_02,000180,KR7000180000|KOSPI|2010-01-04|2026-09-01,2025-09-08,2025-09-05,8795.00000000,2025-11-07,LOSS_GUARD_CLOSE_LE_NEG_15,-18.14000000,40,False,2025-11-07,LOSS_GUARD_CLOSE_LE_NEG_15,-18.14000000,40,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,,,,,,,,,,
000210_01,000210|KR7000210005|KOSPI|2010-01-04|2026-09-01|000210_01,000210,KR7000210005|KOSPI|2010-01-04|2026-09-01,2025-07-07,2025-07-04,50100.00000000,2025-08-12,LOSS_GUARD_CLOSE_LE_NEG_15,-19.96000000,27,False,2025-08-12,LOSS_GUARD_CLOSE_LE_NEG_15,-19.96000000,27,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,,,,,,,,,,
000210_02,000210|KR7000210005|KOSPI|2010-01-04|2026-09-01|000210_02,000210,KR7000210005|KOSPI|2010-01-04|2026-09-01,2026-03-03,2026-02-27,50000.00000000,2026-03-05,LOSS_GUARD_CLOSE_LE_NEG_15,-13.00000000,3,False,2026-03-05,LOSS_GUARD_CLOSE_LE_NEG_15,-13.00000000,3,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,,,,,,,,,,
000210_03,000210|KR7000210005|KOSPI|2010-01-04|2026-09-01|000210_03,000210,KR7000210005|KOSPI|2010-01-04|2026-09-01,2026-03-30,2026-03-27,58500.00000000,2026-06-09,LOSS_GUARD_CLOSE_LE_NEG_15,-21.20000000,48,False,2026-06-09,LOSS_GUARD_CLOSE_LE_NEG_15,-21.20000000,48,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,,,,,,,,,,
000230_01,000230|KR7000230003|KOSPI|2010-01-04|2026-09-01|000230_01,000230,KR7000230003|KOSPI|2010-01-04|2026-09-01,2021-02-08,2021-02-05,16750.00000000,2021-03-09,LOSS_GUARD_CLOSE_LE_NEG_15,-17.61000000,19,False,2021-03-09,LOSS_GUARD_CLOSE_LE_NEG_15,-17.61000000,19,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,,,,,,,,,,
000230_02,000230|KR7000230003|KOSPI|2010-01-04|2026-09-01|000230_02,000230,KR7000230003|KOSPI|2010-01-04|2026-09-01,2025-11-10,2025-11-07,13290.00000000,2026-03-03,EXIT4_SCORE_DRAWDOWN_GE_15,-13.17000000,75,False,2026-03-03,EXIT4_SCORE_DRAWDOWN_GE_15,-13.17000000,75,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,,,,,,,,,,
000240_01,000240|KR7000240002|KOSPI|2010-01-04|2026-09-01|000240_01,000240,KR7000240002|KOSPI|2010-01-04|2026-09-01,2021-02-22,2021-02-19,21750.00000000,2021-02-25,LOSS_GUARD_CLOSE_LE_NEG_15,-12.18000000,4,False,2021-02-25,LOSS_GUARD_CLOSE_LE_NEG_15,-12.18000000,4,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,,,,,,,,,,
000240_02,000240|KR7000240002|KOSPI|2010-01-04|2026-09-01|000240_02,000240,KR7000240002|KOSPI|2010-01-04|2026-09-01,2023-12-04,2023-12-01,15710.00000000,2025-12-01,EXIT3_PROGRESSED_TO_EARLY_TREND,90.01000000,484,False,2025-12-01,EXIT3_PROGRESSED_TO_EARLY_TREND,90.01000000,484,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,,,,,,,,,,
000270_01,000270|KR7000270009|KOSPI|2010-01-04|2026-09-01|000270_01,000270,KR7000270009|KOSPI|2010-01-04|2026-09-01,2023-04-03,2023-03-31,81500.00000000,2025-02-03,EXIT3_PROGRESSED_TO_TRANSITION,22.94000000,446,False,2025-02-03,EXIT3_PROGRESSED_TO_TRANSITION,22.94000000,446,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,,,,,,,,,,
000270_02,000270|KR7000270009|KOSPI|2010-01-04|2026-09-01|000270_02,000270,KR7000270009|KOSPI|2010-01-04|2026-09-01,2025-10-27,2025-10-24,115400.00000000,2026-06-01,EXIT4_SCORE_DRAWDOWN_GE_15,47.75000000,146,False,2026-06-01,EXIT4_SCORE_DRAWDOWN_GE_15,47.75000000,146,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,,,,,,,,,,
000320_01,000320|KR7000320002|KOSPI|2010-01-04|2026-09-01|000320_01,000320,KR7000320002|KOSPI|2010-01-04|2026-09-01,2021-02-22,2021-02-19,12350.00000000,2025-10-01,EXIT4_SCORE_DRAWDOWN_GE_15,109.72000000,1134,False,2025-10-01,EXIT4_SCORE_DRAWDOWN_GE_15,109.72000000,1134,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,,,,,,,,,,
000370_01,000370|KR7000370007|KOSPI|2010-01-04|2026-09-01|000370_01,000370,KR7000370007|KOSPI|2010-01-04|2026-09-01,2025-06-16,2025-06-13,5510.00000000,2026-08-31,OPEN_AT_CUTOFF,52.63000000,297,True,2026-08-31,OPEN_AT_CUTOFF,52.63000000,297,True,False,0.00000000,OPEN_AT_CUTOFF,OPEN_AT_CUTOFF,CONTROL_PRESERVED,,,,,,,,,,
000400_01,000400|KR7000400002|KOSPI|2010-01-04|2026-09-01|000400_01,000400,KR7000400002|KOSPI|2010-01-04|2026-09-01,2022-04-11,2022-04-08,2060.00000000,2022-06-14,LOSS_GUARD_CLOSE_LE_NEG_15,-17.23000000,44,False,2022-06-14,LOSS_GUARD_CLOSE_LE_NEG_15,-17.23000000,44,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,,,,,,,,,,
000400_02,000400|KR7000400002|KOSPI|2010-01-04|2026-09-01|000400_02,000400,KR7000400002|KOSPI|2010-01-04|2026-09-01,2023-06-05,2023-06-02,1730.00000000,2024-04-01,EXIT4_SCORE_DRAWDOWN_GE_15,78.90000000,203,False,2024-04-01,EXIT4_SCORE_DRAWDOWN_GE_15,78.90000000,203,False,False,0.00000000,REALIZED,REALIZED,CONTROL_EXIT,,,,,,,,,,
