ticker,name,market,isu_cd,control_trade_id,control_trade_sequence,identity_lifecycle,identity_effective_from,identity_effective_to,entry_signal_date,entry_execution_date,entry_open,full_path_raw_mfe,full_path_raw_mae,full_path_mfe_cohort,v2_exit_reason,v2_exit_category,v2_exit_signal_date,v2_exit_execution_date,v2_exit_price,v2_terminal_return,v2_mfe,v2_mae,v2_holding_days,v2_trade_status,v2_giveback,v4_exit_reason,v4_exit_signal_date,v4_exit_execution_date,v4_exit_price,v4_terminal_return,v4_strategy_path_mfe,v4_strategy_path_mae,v4_holding_days,v4_trade_status,v4_fast_state_at_exit,v4_active_soft_threshold,v4_active_hard_threshold,v4_mfe_tier,v4_phase_at_exit,v4_max_hwm_drawdown_pct,v4_final_valuation_date,v4_final_valuation_price,v4_unexecuted_exit_signal_date,v4_unexecuted_exit_reason,v4_giveback,v3_exit_reason,v3_terminal_return,v3_strategy_path_mfe,v3_giveback,entry_signal_date_match,entry_execution_date_match,entry_open_match,return_delta_v4_minus_v2,improved_worsened_same
000050,경방,KOSPI,KR7000050005,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000050_KR7000050005_KOSPI_01,1,2010-01-04|2026-08-21,2010-01-04,2026-08-21,2021-05-28,2021-05-31,15300.0,16.013072,-62.875817,PRE_WINNER_LT_20,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2021-08-20,2021-08-23,12750.0,-16.67,2.61,-17.32,60,REALIZED,19.28,PRE_WINNER_PRICE_STRUCTURE_FAILURE,2021-08-20,2021-08-23,12750.0,-16.67,2.61,-17.32,60,REALIZED,WATCH,,,PRE_WINNER_LT_20,PRE_WINNER,-18.79,2021-08-23,12750.0,,,19.28,OPEN_AT_CUTOFF,-46.47,16.01,62.48,True,True,True,0.0,same
000050,경방,KOSPI,KR7000050005,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000050_KR7000050005_KOSPI_02,2,2010-01-04|2026-08-21,2010-01-04,2026-08-21,2022-04-29,2022-05-02,15700.0,10.828025,-63.821656,PRE_WINNER_LT_20,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2022-06-17,2022-06-20,13200.0,-15.92,10.83,-17.52,33,REALIZED,26.75,PRE_WINNER_PRICE_STRUCTURE_FAILURE,2022-06-24,2022-06-27,12350.0,-21.34,10.83,-32.48,38,REALIZED,WATCH,,,PRE_WINNER_LT_20,PRE_WINNER,-39.08,2022-06-27,12350.0,,,32.17,OPEN_AT_CUTOFF,-47.83,10.83,58.66,True,True,True,-5.42,worsened
000060,메리츠화재,KOSPI,KR7000060004,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000060_KR7000060004_KOSPI_01,1,2010-01-04|2023-02-20,2010-01-04,2023-02-20,2021-04-02,2021-04-05,19000.0,198.947368,-9.736842,WINNER_CAPABLE_GE_20,EXIT4_SCORE_DRAWDOWN_GE_15,EXIT4,2021-11-30,2021-12-01,31150.0,63.95,82.63,-9.74,165,REALIZED,18.68,WINNER_HARD_EXIT,2022-03-04,2022-03-07,37200.0,95.79,181.58,-9.74,228,REALIZED,EXTENDED,-20.0,-30.0,MFE_100_TO_200,WINNER,-30.56,2022-03-07,37200.0,,,85.79,SOFT_EXIT,46.32,82.63,36.31,True,True,True,31.84,improved
000070,삼양홀딩스,KOSPI,KR7000070003,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000070_KR7000070003_KOSPI_01,1,2010-01-04|2026-08-21,2010-01-04,2026-08-21,2025-06-13,2025-06-16,57321.0,31.71438,-10.155092,WINNER_CAPABLE_GE_20,EXIT4_SCORE_DRAWDOWN_GE_15,EXIT4,2026-06-30,2026-07-01,55300.0,-3.53,31.71,-10.16,239,REALIZED,35.24,WINNER_HARD_EXIT,2026-01-02,2026-01-05,57200.0,-0.21,24.68,-7.68,120,REALIZED,SETUP,-10.0,-20.0,MFE_20_TO_50,WINNER,-21.51,2026-01-05,57200.0,,,24.89,SOFT_EXIT,6.24,24.68,18.44,True,True,True,3.32,improved
000080,하이트진로,KOSPI,KR7000080002,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000080_KR7000080002_KOSPI_01,1,2010-01-04|2026-08-21,2010-01-04,2026-08-21,2021-07-02,2021-07-05,36650.0,5.457026,-62.264666,PRE_WINNER_LT_20,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2021-08-19,2021-08-20,30800.0,-15.96,0.82,-16.23,34,REALIZED,16.78,PRE_WINNER_PRICE_STRUCTURE_FAILURE,2021-08-20,2021-08-23,30500.0,-16.78,0.82,-17.19,35,REALIZED,WATCH,,,PRE_WINNER_LT_20,PRE_WINNER,-17.86,2021-08-23,30500.0,,,17.6,OPEN_AT_CUTOFF,-58.42,5.46,63.88,True,True,True,-0.82,worsened
000100,유한양행,KOSPI,KR7000100008,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000100_KR7000100008_KOSPI_01,1,2010-01-04|2026-08-21,2010-01-04,2026-08-21,2023-06-02,2023-06-05,58955.0,183.097278,-10.876092,WINNER_CAPABLE_GE_20,EXIT4_SCORE_DRAWDOWN_GE_15,EXIT4,2024-10-31,2024-11-01,138500.0,134.92,183.1,-10.88,345,REALIZED,48.18,WINNER_HARD_EXIT,2023-10-18,2023-10-19,58189.0,-1.3,43.51,-9.09,92,REALIZED,SETUP,-10.0,-20.0,MFE_20_TO_50,WINNER,-30.43,2023-10-19,58189.0,,,44.81,SOFT_EXIT,14.45,28.09,13.64,True,True,True,-136.22,worsened
000120,CJ대한통운,KOSPI,KR7000120006,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000120_KR7000120006_KOSPI_01,1,2010-01-04|2026-08-21,2010-01-04,2026-08-21,2024-01-05,2024-01-08,125600.0,22.611465,-44.745223,WINNER_CAPABLE_GE_20,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2024-05-28,2024-05-29,104200.0,-17.04,18.31,-17.04,96,REALIZED,35.35,PRE_WINNER_PRICE_STRUCTURE_FAILURE,2024-05-28,2024-05-29,104200.0,-17.04,18.31,-17.04,96,REALIZED,WATCH,,,PRE_WINNER_LT_20,PRE_WINNER,-29.21,2024-05-29,104200.0,,,35.35,SOFT_EXIT,4.7,22.61,17.91,True,True,True,0.0,same
000120,CJ대한통운,KOSPI,KR7000120006,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000120_KR7000120006_KOSPI_02,2,2010-01-04|2026-08-21,2010-01-04,2026-08-21,2026-01-30,2026-02-02,104800.0,46.946565,-33.778626,WINNER_CAPABLE_GE_20,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2026-05-19,2026-05-20,89600.0,-14.5,46.95,-16.79,72,REALIZED,61.45,WINNER_HARD_EXIT,2026-03-04,2026-03-05,116700.0,11.35,46.95,-6.01,20,REALIZED,SETUP,-10.0,-20.0,MFE_20_TO_50,WINNER,-28.25,2026-03-05,116700.0,,,35.6,SOFT_EXIT,25.48,46.95,21.47,True,True,True,25.85,improved
000150,두산,KOSPI,KR7000150003,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000150_KR7000150003_KOSPI_01,1,2010-01-04|2026-08-21,2010-01-04,2026-08-21,2021-07-02,2021-07-05,98200.0,2434.623218,-38.594705,WINNER_CAPABLE_GE_20,EXIT4_SCORE_DRAWDOWN_GE_15,EXIT4,2021-09-30,2021-10-01,98500.0,0.31,20.67,-13.44,61,REALIZED,20.36,WINNER_HARD_EXIT,2021-08-03,2021-08-04,93200.0,-5.09,20.67,-5.7,23,REALIZED,SETUP,-10.0,-20.0,MFE_20_TO_50,WINNER,-21.52,2021-08-04,93200.0,,,25.76,SOFT_EXIT,3.87,20.67,16.8,True,True,True,-5.4,worsened
000150,두산,KOSPI,KR7000150003,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000150_KR7000150003_KOSPI_02,2,2010-01-04|2026-08-21,2010-01-04,2026-08-21,2022-11-25,2022-11-28,97300.0,2458.067831,-25.899281,WINNER_CAPABLE_GE_20,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2022-12-27,2022-12-28,81600.0,-16.14,1.85,-16.14,23,REALIZED,17.99,WINNER_HARD_EXIT,2023-09-19,2023-09-20,123500.0,26.93,71.22,-22.61,204,REALIZED,EXTENDED,-15.0,-25.0,MFE_50_TO_100,WINNER,-28.81,2023-09-20,123500.0,,,44.29,SOFT_EXIT,9.76,22.2,12.44,True,True,True,43.07,improved
