ticker,isu_cd,market,first_common_date,last_common_date,current_common,historical_only,lifecycle_transition_present,common_interval_count,canonical_adjusted_exists,canonical_adjusted_date_min,canonical_requested_start,canonical_row_count,raw_cache_exists,spac_authority_present,historical_issue_name,current_issue_name,risk_classification
000030,KR7000030007,KOSPI,2014-11-19,2019-02-12,false,true,false,1,true,2014-11-19,2014-11-19,1015,false,false,,,NO_IDENTITY_TRANSITION_SIGNAL
000060,KR7000060004,KOSPI,2010-01-04,2023-02-20,false,true,false,1,true,2010-01-04,2010-01-04,3213,false,false,메리츠화재,메리츠화재,NO_IDENTITY_TRANSITION_SIGNAL
000100,KR7000100008,KOSPI,2010-01-04,2026-08-21,true,false,false,1,true,2010-01-04,2010-01-04,4092,false,false,유한양행,유한양행,NO_IDENTITY_TRANSITION_SIGNAL
0001A0,KR70001A0001,KOSDAQ,2026-01-30,2026-08-21,true,false,false,1,true,2026-01-30,2026-01-30,136,false,false,덕양에너젠,덕양에너젠,NO_IDENTITY_TRANSITION_SIGNAL
000360,KR7000360008,KOSPI,2010-01-04,2015-04-14,false,true,false,1,true,2010-01-04,2010-01-04,1238,false,false,,,NO_IDENTITY_TRANSITION_SIGNAL
000420,KR7000420000,KOSPI,2010-01-04,2015-02-23,false,true,false,1,true,2010-01-04,2010-01-04,1040,false,false,,,NO_IDENTITY_TRANSITION_SIGNAL
000470,KR7000470005,KOSPI,2010-01-04,2012-07-13,false,true,false,1,true,2010-01-04,2010-01-04,607,false,false,,,NO_IDENTITY_TRANSITION_SIGNAL
0004V0,KR70004V0003,KOSDAQ,2026-01-14,2026-08-21,true,false,false,1,true,2026-01-14,2026-01-14,148,false,false,엔비알모션,엔비알모션,NO_IDENTITY_TRANSITION_SIGNAL
000610,KR7000610006,KOSPI,2010-01-04,2010-01-19,false,true,false,1,false,,,0,false,false,,,NO_IDENTITY_TRANSITION_SIGNAL
0007C0,KR70007C0003,KOSDAQ,2025-12-16,2026-08-21,true,false,false,1,true,2025-12-16,2025-12-16,166,false,false,아크릴,아크릴,NO_IDENTITY_TRANSITION_SIGNAL
0007J0,KR70007J0006,KOSDAQ,2026-04-02,2026-08-21,true,false,false,1,true,2026-04-02,2026-04-02,96,false,false,인벤테라,인벤테라,NO_IDENTITY_TRANSITION_SIGNAL
000800,KR7000800003,KOSPI,2010-01-04,2015-04-14,false,true,false,1,true,2010-01-04,2010-01-04,1291,false,false,,,NO_IDENTITY_TRANSITION_SIGNAL
000830,KR7000830000,KOSPI,2010-01-04,2015-09-14,false,true,false,1,true,2010-01-04,2010-01-04,1401,false,false,,,NO_IDENTITY_TRANSITION_SIGNAL
0008Z0,KR70008Z0005,KOSDAQ,2025-08-19,2026-08-21,true,false,false,1,true,2025-08-19,2025-08-19,246,false,false,에스엔시스,에스엔시스,NO_IDENTITY_TRANSITION_SIGNAL
0009K0,KR70009K0001,KOSDAQ,2025-12-04,2026-08-21,true,false,false,1,true,2025-12-04,2025-12-04,174,false,false,에임드바이오,에임드바이오,NO_IDENTITY_TRANSITION_SIGNAL
001060,KR7001060003,KOSPI,2010-01-04,2026-08-21,true,false,false,1,true,2010-01-04,2010-01-04,4095,false,false,JW중외제약,JW중외제약,NO_IDENTITY_TRANSITION_SIGNAL
0010F0,KR70010F0005,KOSDAQ,2026-04-03,2026-08-21,true,false,false,1,true,2026-04-03,2026-04-03,95,false,false,보원케미칼,보원케미칼,NO_IDENTITY_TRANSITION_SIGNAL
