ticker,name,market,isu_cd,control_trade_id,control_trade_sequence,entry_signal_date,entry_signal_information_date,entry_execution_date,entry_open,identity_effective_from,identity_effective_to,v2_exit_reason,v2_exit_category,v2_exit_signal_date,v2_exit_execution_date,v2_exit_price,v2_terminal_return,v2_mfe,v2_mae,v2_holding_days,v2_trade_status,v2_loss_guard_triggered,v2_giveback,v3_entry_signal_date,v3_entry_execution_date,v3_entry_open,v3_exit_reason,v3_exit_signal_date,v3_exit_execution_date,v3_exit_price,v3_terminal_return,v3_strategy_path_mfe,v3_strategy_path_mae,v3_holding_days,v3_trade_status,v3_fast_state_at_exit,v3_soft_threshold,v3_hard_threshold,v3_exit_mfe_tier,v3_giveback,full_path_raw_mfe,full_path_mfe_cohort,entry_signal_date_match,entry_execution_date_match,entry_open_match,return_delta_v3_minus_v2,improved_worsened_same
000050,경방,KOSPI,KR7000050005,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000050_KR7000050005_KOSPI_01,1,2021-05-28,2021-05-28,2021-05-31,15300.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2021-08-20,2021-08-23,12750.0,-16.67,2.61,-17.32,60,REALIZED,True,19.28,2021-05-28,2021-05-31,15300.0,OPEN_AT_CUTOFF,,,,-46.47,16.01,-62.88,1281,OPEN_AT_CUTOFF,,,,BELOW_WINNER_MODE,62.48,16.013072,PRE_WINNER_LT_20,True,True,True,-29.8,worsened
000050,경방,KOSPI,KR7000050005,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000050_KR7000050005_KOSPI_02,2,2022-04-29,2022-04-29,2022-05-02,15700.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2022-06-17,2022-06-20,13200.0,-15.92,10.83,-17.52,33,REALIZED,True,26.75,2022-04-29,2022-05-02,15700.0,OPEN_AT_CUTOFF,,,,-47.83,10.83,-63.82,1053,OPEN_AT_CUTOFF,,,,BELOW_WINNER_MODE,58.66,10.828025,PRE_WINNER_LT_20,True,True,True,-31.91,worsened
000060,메리츠화재,KOSPI,KR7000060004,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000060_KR7000060004_KOSPI_01,1,2021-04-02,2021-04-02,2021-04-05,19000.0,2010-01-04,2023-02-20,EXIT4_SCORE_DRAWDOWN_GE_15,EXIT4,2021-11-30,2021-12-01,31150.0,63.95,82.63,-9.74,165,REALIZED,False,18.68,2021-04-02,2021-04-05,19000.0,SOFT_EXIT,2021-10-29,2021-11-01,27800.0,46.32,82.63,-9.74,143,REALIZED,SETUP,-15.0,-25.0,MFE_50_TO_100,36.31,198.947368,WINNER_CAPABLE_GE_20,True,True,True,-17.63,worsened
000070,삼양홀딩스,KOSPI,KR7000070003,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000070_KR7000070003_KOSPI_01,1,2025-06-13,2025-06-13,2025-06-16,57321.0,2010-01-04,2026-08-21,EXIT4_SCORE_DRAWDOWN_GE_15,EXIT4,2026-06-30,2026-07-01,55300.0,-3.53,31.71,-10.16,239,REALIZED,False,35.24,2025-06-13,2025-06-16,57321.0,SOFT_EXIT,2025-11-28,2025-12-01,60900.0,6.24,24.68,-7.68,98,REALIZED,SETUP,-10.0,-20.0,MFE_20_TO_50,18.44,31.71438,WINNER_CAPABLE_GE_20,True,True,True,9.77,improved
000080,하이트진로,KOSPI,KR7000080002,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000080_KR7000080002_KOSPI_01,1,2021-07-02,2021-07-02,2021-07-05,36650.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2021-08-19,2021-08-20,30800.0,-15.96,0.82,-16.23,34,REALIZED,True,16.78,2021-07-02,2021-07-05,36650.0,OPEN_AT_CUTOFF,,,,-58.42,5.46,-62.26,1256,OPEN_AT_CUTOFF,,,,BELOW_WINNER_MODE,63.88,5.457026,PRE_WINNER_LT_20,True,True,True,-42.46,worsened
000100,유한양행,KOSPI,KR7000100008,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000100_KR7000100008_KOSPI_01,1,2023-06-02,2023-06-02,2023-06-05,58955.0,2010-01-04,2026-08-21,EXIT4_SCORE_DRAWDOWN_GE_15,EXIT4,2024-10-31,2024-11-01,138500.0,134.92,183.1,-10.88,345,REALIZED,False,48.18,2023-06-02,2023-06-05,58955.0,SOFT_EXIT,2023-09-01,2023-09-04,67474.0,14.45,28.09,-9.09,64,REALIZED,SETUP,-10.0,-20.0,MFE_20_TO_50,13.64,183.097278,WINNER_CAPABLE_GE_20,True,True,True,-120.47,worsened
000120,CJ대한통운,KOSPI,KR7000120006,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000120_KR7000120006_KOSPI_01,1,2024-01-05,2024-01-05,2024-01-08,125600.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2024-05-28,2024-05-29,104200.0,-17.04,18.31,-17.04,96,REALIZED,True,35.35,2024-01-05,2024-01-08,125600.0,SOFT_EXIT,2026-02-27,2026-03-03,131500.0,4.7,22.61,-38.85,521,REALIZED,SETUP,-10.0,-20.0,MFE_20_TO_50,17.91,22.611465,WINNER_CAPABLE_GE_20,True,True,True,21.74,improved
000120,CJ대한통운,KOSPI,KR7000120006,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000120_KR7000120006_KOSPI_02,2,2026-01-30,2026-01-30,2026-02-02,104800.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2026-05-19,2026-05-20,89600.0,-14.5,46.95,-16.79,72,REALIZED,True,61.45,2026-01-30,2026-02-02,104800.0,SOFT_EXIT,2026-02-27,2026-03-03,131500.0,25.48,46.95,-6.01,18,REALIZED,SETUP,-10.0,-20.0,MFE_20_TO_50,21.47,46.946565,WINNER_CAPABLE_GE_20,True,True,True,39.98,improved
000150,두산,KOSPI,KR7000150003,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000150_KR7000150003_KOSPI_01,1,2021-07-02,2021-07-02,2021-07-05,98200.0,2010-01-04,2026-08-21,EXIT4_SCORE_DRAWDOWN_GE_15,EXIT4,2021-09-30,2021-10-01,98500.0,0.31,20.67,-13.44,61,REALIZED,False,20.36,2021-07-02,2021-07-05,98200.0,SOFT_EXIT,2021-07-23,2021-07-26,102000.0,3.87,20.67,-3.26,16,REALIZED,SETUP,-10.0,-20.0,MFE_20_TO_50,16.8,2434.623218,WINNER_CAPABLE_GE_20,True,True,True,3.56,improved
000150,두산,KOSPI,KR7000150003,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000150_KR7000150003_KOSPI_02,2,2022-11-25,2022-11-25,2022-11-28,97300.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2022-12-27,2022-12-28,81600.0,-16.14,1.85,-16.14,23,REALIZED,True,17.99,2022-11-25,2022-11-28,97300.0,SOFT_EXIT,2023-08-03,2023-08-04,106800.0,9.76,22.2,-22.61,172,REALIZED,SETUP,-10.0,-20.0,MFE_20_TO_50,12.44,2458.067831,WINNER_CAPABLE_GE_20,True,True,True,25.9,improved
000150,두산,KOSPI,KR7000150003,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000150_KR7000150003_KOSPI_03,3,2023-03-10,2023-03-10,2023-03-13,107200.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2023-05-03,2023-05-04,91300.0,-14.83,3.92,-15.11,38,REALIZED,True,18.75,2023-03-10,2023-03-13,107200.0,SOFT_EXIT,2023-09-12,2023-09-13,138700.0,29.38,55.41,-21.55,128,REALIZED,SETUP,-15.0,-25.0,MFE_50_TO_100,26.03,2221.828358,WINNER_CAPABLE_GE_20,True,True,True,44.21,improved
000210,DL,KOSPI,KR7000210005,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000210_KR7000210005_KOSPI_01,1,2025-07-04,2025-07-04,2025-07-07,50100.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2025-08-11,2025-08-12,40100.0,-19.96,12.57,-22.36,27,REALIZED,True,32.53,2025-07-04,2025-07-07,50100.0,SOFT_EXIT,2026-04-03,2026-04-06,61600.0,22.95,34.13,-32.34,183,REALIZED,SETUP,-10.0,-20.0,MFE_20_TO_50,11.18,55.08982,WINNER_CAPABLE_GE_20,True,True,True,42.91,improved
000210,DL,KOSPI,KR7000210005,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000210_KR7000210005_KOSPI_02,2,2026-02-27,2026-02-27,2026-03-03,50000.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2026-03-04,2026-03-05,43500.0,-13.0,4.2,-19.8,3,REALIZED,True,17.2,2026-02-27,2026-03-03,50000.0,SOFT_EXIT,2026-04-03,2026-04-06,61600.0,23.2,34.4,-19.9,25,REALIZED,SETUP,-10.0,-20.0,MFE_20_TO_50,11.2,55.4,WINNER_CAPABLE_GE_20,True,True,True,36.2,improved
000210,DL,KOSPI,KR7000210005,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000210_KR7000210005_KOSPI_03,3,2026-03-27,2026-03-27,2026-03-30,58500.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,LOSS_GUARD,2026-06-08,2026-06-09,46100.0,-21.2,32.82,-22.48,48,REALIZED,True,54.02,2026-03-27,2026-03-30,58500.0,SOFT_EXIT,2026-05-08,2026-05-11,63800.0,9.06,32.82,-3.59,29,REALIZED,SETUP,-10.0,-20.0,MFE_20_TO_50,23.76,32.820513,WINNER_CAPABLE_GE_20,True,True,True,30.26,improved
